Activity,Type,Start,Finish,Details
Feeding,Bottle,"2025-11-08, 03:05","2025-11-08, 03:15","136ml, formula"
Sleep,,"2025-11-07, 19:25","2025-11-08, 06:35",cot
Feeding,Bottle,"2025-11-07, 19:10","2025-11-07, 19:15","154ml, formula"
Feeding,Bottle,"2025-11-07, 16:55","2025-11-07, 17:25","249ml, formula"
Sleep,,"2025-11-07, 13:55","2025-11-07, 14:30",cot
Feeding,Bottle,"2025-11-07, 13:50","2025-11-07, 13:55","158ml, formula"
Feeding,Bottle,"2025-11-07, 10:30","2025-11-07, 11:30","111ml, formula"
Sleep,,"2025-11-07, 09:25","2025-11-07, 10:15",cot
Feeding,Bottle,"2025-11-07, 07:10","2025-11-07, 07:40","176ml, formula"
Feeding,Bottle,"2025-11-07, 02:30","2025-11-07, 02:35","61ml, formula"
Sleep,,"2025-11-06, 20:15","2025-11-07, 06:30",cot
Feeding,Bottle,"2025-11-06, 19:20","2025-11-06, 19:30","308ml, formula"
Feeding,Bottle,"2025-11-06, 15:45","2025-11-06, 15:55","163ml, formula"
Sleep,,"2025-11-06, 14:05","2025-11-06, 15:35",cot
Feeding,Bottle,"2025-11-06, 12:05","2025-11-06, 12:15","216ml, formula"
Sleep,,"2025-11-06, 09:10","2025-11-06, 09:55",cot
Feeding,Bottle,"2025-11-06, 09:00","2025-11-06, 09:10","115ml, formula"
Feeding,Bottle,"2025-11-06, 06:00","2025-11-06, 06:15","156ml, formula"
Sleep,,"2025-11-05, 19:30","2025-11-06, 06:00",cot
Feeding,Bottle,"2025-11-05, 19:20","2025-11-05, 19:30","290ml, formula"
Feeding,Bottle,"2025-11-05, 16:30","2025-11-05, 16:45","216ml, formula"
Sleep,,"2025-11-05, 14:10","2025-11-05, 15:20",cot
Feeding,Bottle,"2025-11-05, 13:30","2025-11-05, 13:45","173ml, formula"
Feeding,Bottle,"2025-11-05, 10:25","2025-11-05, 10:50","147ml, formula"
Sleep,,"2025-11-05, 09:35","2025-11-05, 10:20",cot
Feeding,Bottle,"2025-11-05, 07:20","2025-11-05, 07:40","129ml, formula"
Feeding,Bottle,"2025-11-05, 02:10","2025-11-05, 02:20","147ml, formula"
Sleep,,"2025-11-04, 19:35","2025-11-05, 06:30",cot
Feeding,Bottle,"2025-11-04, 19:15","2025-11-04, 19:25","204ml, formula"
Feeding,Bottle,"2025-11-04, 17:15","2025-11-04, 17:25","107ml, formula"
Sleep,,"2025-11-04, 15:10","2025-11-04, 15:55",pram
Feeding,Bottle,"2025-11-04, 14:10","2025-11-04, 14:20","161ml, formula"
Feeding,Bottle,"2025-11-04, 11:10","2025-11-04, 11:20","128ml, formula"
Sleep,,"2025-11-04, 10:20","2025-11-04, 11:05",cot
Feeding,Bottle,"2025-11-04, 07:35","2025-11-04, 07:55","224ml, formula"
Feeding,Bottle,"2025-11-04, 01:05","2025-11-04, 01:15","179ml, formula"
Sleep,,"2025-11-03, 19:40","2025-11-04, 07:20",cot
Feeding,Bottle,"2025-11-03, 19:20","2025-11-03, 19:30","189ml, formula"
Feeding,Bottle,"2025-11-03, 17:30","2025-11-03, 17:35","145ml, formula"
Sleep,,"2025-11-03, 14:40","2025-11-03, 15:50",cot
Feeding,Bottle,"2025-11-03, 14:10","2025-11-03, 14:20","144ml, formula"
Feeding,Bottle,"2025-11-03, 10:35","2025-11-03, 10:40","120ml, formula"
Sleep,,"2025-11-03, 09:45","2025-11-03, 10:20",cot
Feeding,Bottle,"2025-11-03, 07:20","2025-11-03, 07:50","182ml, formula"
Feeding,Bottle,"2025-11-03, 02:25","2025-11-03, 02:35","119ml, formula"
Sleep,,"2025-11-02, 19:50","2025-11-03, 06:55",cot
Feeding,Bottle,"2025-11-02, 19:25","2025-11-02, 19:35","181ml, formula"
Feeding,Bottle,"2025-11-02, 17:50","2025-11-02, 18:00","173ml, formula"
Sleep,,"2025-11-02, 14:55","2025-11-02, 15:55",cot
Feeding,Bottle,"2025-11-02, 14:20","2025-11-02, 14:25","224ml, formula"
Feeding,Bottle,"2025-11-02, 10:50","2025-11-02, 11:00","194ml, formula"
Sleep,,"2025-11-02, 09:50","2025-11-02, 10:40",cot
Feeding,Bottle,"2025-11-02, 07:25","2025-11-02, 08:05","200ml, formula"
Feeding,Bottle,"2025-11-02, 03:10","2025-11-02, 03:20","162ml, formula"
Sleep,,"2025-11-01, 19:25","2025-11-02, 06:55",cot
Feeding,Bottle,"2025-11-01, 19:10","2025-11-01, 19:20","197ml, formula"
Feeding,Bottle,"2025-11-01, 17:25","2025-11-01, 17:35","221ml, formula"
Feeding,Bottle,"2025-11-01, 14:25","2025-11-01, 14:55","200ml, formula"
Sleep,,"2025-11-01, 12:55","2025-11-01, 13:35",pram
Feeding,Bottle,"2025-11-01, 10:25","2025-11-01, 10:35","134ml, formula"
Sleep,,"2025-11-01, 09:40","2025-11-01, 10:15",cot
Feeding,Bottle,"2025-11-01, 07:10","2025-11-01, 07:40","191ml, formula"
Feeding,Bottle,"2025-11-01, 01:00","2025-11-01, 01:05","206ml, formula"
Sleep,,"2025-10-31, 19:45","2025-11-01, 06:40",cot
Feeding,Bottle,"2025-10-31, 19:15","2025-10-31, 19:30","306ml, formula"
Feeding,Bottle,"2025-10-31, 17:40","2025-10-31, 17:45","57ml, formula"
Sleep,,"2025-10-31, 16:35","2025-10-31, 17:05",cot
Feeding,Bottle,"2025-10-31, 14:40","2025-10-31, 14:45","139ml, formula"
Sleep,,"2025-10-31, 12:20","2025-10-31, 12:55",cot
Feeding,Bottle,"2025-10-31, 10:45","2025-10-31, 11:45","255ml, formula"
Feeding,Bottle,"2025-10-31, 07:30","2025-10-31, 08:00","120ml, formula"
Feeding,Bottle,"2025-10-31, 02:15","2025-10-31, 02:25","111ml, formula"
Sleep,,"2025-10-30, 19:55","2025-10-31, 07:15",cot
Feeding,Bottle,"2025-10-30, 19:25","2025-10-30, 19:40","243ml, formula"
Feeding,Bottle,"2025-10-30, 17:05","2025-10-30, 17:20","103ml, formula"
Sleep,,"2025-10-30, 14:25","2025-10-30, 16:15",cot
Feeding,Bottle,"2025-10-30, 14:10","2025-10-30, 14:15","187ml, formula"
Feeding,Bottle,"2025-10-30, 11:10","2025-10-30, 11:20","115ml, formula"
Sleep,,"2025-10-30, 10:20","2025-10-30, 10:50",cot
Feeding,Bottle,"2025-10-30, 07:55","2025-10-30, 08:40","173ml, formula"
Feeding,Bottle,"2025-10-30, 04:20","2025-10-30, 04:30","153ml, formula"
Sleep,,"2025-10-29, 19:45","2025-10-30, 07:25",cot
Feeding,Bottle,"2025-10-29, 19:20","2025-10-29, 19:35","211ml, formula"
Feeding,Bottle,"2025-10-29, 17:30","2025-10-29, 17:45","130ml, formula"
Sleep,,"2025-10-29, 16:30","2025-10-29, 17:10",pram
Feeding,Bottle,"2025-10-29, 14:40","2025-10-29, 15:10","243ml, formula"
Feeding,Bottle,"2025-10-29, 11:25","2025-10-29, 11:30","146ml, formula"
Sleep,,"2025-10-29, 10:05","2025-10-29, 11:20",cot
Feeding,Bottle,"2025-10-29, 07:45","2025-10-29, 08:15","127ml, formula"
Feeding,Bottle,"2025-10-28, 23:50","2025-10-28, 23:55","175ml, formula"
Sleep,,"2025-10-28, 19:50","2025-10-29, 07:20",cot
Feeding,Bottle,"2025-10-28, 19:15","2025-10-28, 19:30","188ml, formula"
Feeding,Bottle,"2025-10-28, 16:30","2025-10-28, 17:00","125ml, formula"
Sleep,,"2025-10-28, 14:55","2025-10-28, 15:40",cot
Feeding,Bottle,"2025-10-28, 13:30","2025-10-28, 14:20","115ml, formula"
Sleep,,"2025-10-28, 09:55","2025-10-28, 10:50",cot
Feeding,Bottle,"2025-10-28, 09:20","2025-10-28, 09:25","189ml, formula"
Feeding,Bottle,"2025-10-28, 05:45","2025-10-28, 06:00","191ml, formula"
Sleep,,"2025-10-27, 20:00","2025-10-28, 07:05",cot
Feeding,Bottle,"2025-10-27, 19:20","2025-10-27, 19:40","242ml, formula"
Feeding,Bottle,"2025-10-27, 17:10","2025-10-27, 17:20","85ml, formula"
Sleep,,"2025-10-27, 13:45","2025-10-27, 15:05",cot
Feeding,Bottle,"2025-10-27, 13:40","2025-10-27, 13:45","181ml, formula"
Feeding,Bottle,"2025-10-27, 10:25","2025-10-27, 10:50","203ml, formula"
Sleep,,"2025-10-27, 09:25","2025-10-27, 10:10",cot
Feeding,Bottle,"2025-10-27, 07:20","2025-10-27, 07:50","174ml, formula"
Feeding,Bottle,"2025-10-27, 02:45","2025-10-27, 02:55","127ml, formula"
Sleep,,"2025-10-26, 19:45","2025-10-27, 06:45",cot
Feeding,Bottle,"2025-10-26, 19:20","2025-10-26, 19:30","293ml, formula"
Feeding,Bottle,"2025-10-26, 15:40","2025-10-26, 15:55","176ml, formula"
Sleep,,"2025-10-26, 14:10","2025-10-26, 15:30",cot
Feeding,Bottle,"2025-10-26, 11:40","2025-10-26, 11:55","227ml, formula"
Sleep,,"2025-10-26, 09:55","2025-10-26, 10:30",cot
Feeding,Bottle,"2025-10-26, 07:50","2025-10-26, 08:20","168ml, formula"
Feeding,Bottle,"2025-10-26, 03:10","2025-10-26, 03:20","166ml, formula"
Sleep,,"2025-10-25, 19:50","2025-10-26, 07:20",cot
Feeding,Bottle,"2025-10-25, 19:20","2025-10-25, 19:30","185ml, formula"
Feeding,Bottle,"2025-10-25, 17:10","2025-10-25, 17:20","91ml, formula"
Sleep,,"2025-10-25, 14:20","2025-10-25, 15:35",cot
Feeding,Bottle,"2025-10-25, 14:10","2025-10-25, 14:20","166ml, formula"
Feeding,Bottle,"2025-10-25, 10:55","2025-10-25, 11:00","166ml, formula"
Sleep,,"2025-10-25, 09:50","2025-10-25, 10:45",cot
Feeding,Bottle,"2025-10-25, 07:25","2025-10-25, 07:35","131ml, formula"
Feeding,Bottle,"2025-10-25, 00:45","2025-10-25, 00:55","163ml, formula"
Sleep,,"2025-10-24, 19:35","2025-10-25, 06:55",cot
Feeding,Bottle,"2025-10-24, 19:15","2025-10-24, 19:30","192ml, formula"
Feeding,Bottle,"2025-10-24, 17:00","2025-10-24, 17:10","38ml, formula"
Sleep,,"2025-10-24, 15:00","2025-10-24, 15:30",cot
Feeding,Bottle,"2025-10-24, 14:30","2025-10-24, 14:35","152ml, formula"
Feeding,Bottle,"2025-10-24, 11:00","2025-10-24, 11:15","93ml, formula"
Sleep,,"2025-10-24, 10:15","2025-10-24, 10:55",cot
Feeding,Bottle,"2025-10-24, 08:00","2025-10-24, 08:05","140ml, formula"
Feeding,Bottle,"2025-10-24, 04:45","2025-10-24, 04:55","137ml, formula"
Sleep,,"2025-10-23, 19:50","2025-10-24, 07:30",cot
Feeding,Bottle,"2025-10-23, 19:25","2025-10-23, 19:30","256ml, formula"
Feeding,Bottle,"2025-10-23, 16:50","2025-10-23, 17:00","253ml, formula"
Sleep,,"2025-10-23, 13:55","2025-10-23, 14:55",car
Feeding,Bottle,"2025-10-23, 13:30","2025-10-23, 13:45","140ml, formula"
Feeding,Bottle,"2025-10-23, 10:40","2025-10-23, 10:50","192ml, formula"
Sleep,,"2025-10-23, 09:45","2025-10-23, 10:30",cot
Feeding,Bottle,"2025-10-23, 07:25","2025-10-23, 08:05","184ml, formula"
Feeding,Bottle,"2025-10-23, 02:50","2025-10-23, 02:55","165ml, formula"
Sleep,,"2025-10-22, 19:40","2025-10-23, 06:45",cot
Feeding,Bottle,"2025-10-22, 19:15","2025-10-22, 19:46","226ml, formula"
Sleep,,"2025-10-22, 16:15","2025-10-22, 17:00",car
Feeding,Bottle,"2025-10-22, 15:50","2025-10-22, 16:05","97ml, formula"
Feeding,Bottle,"2025-10-22, 12:15","2025-10-22, 12:30","150ml, formula"
Sleep,,"2025-10-22, 10:45","2025-10-22, 11:45",pram
Feeding,Bottle,"2025-10-22, 07:40","2025-10-22, 08:13","172ml, formula"
Feeding,Bottle,"2025-10-22, 00:25","2025-10-22, 00:35","146ml, formula"
Sleep,,"2025-10-21, 19:25","2025-10-22, 07:00",cot
Feeding,Bottle,"2025-10-21, 19:15","2025-10-21, 19:25","262ml, formula"
Feeding,Bottle,"2025-10-21, 15:15","2025-10-21, 15:45","98ml, formula"
Sleep,,"2025-10-21, 14:35","2025-10-21, 15:10",pram
Feeding,Bottle,"2025-10-21, 11:35","2025-10-21, 12:05","188ml, formula"
Sleep,,"2025-10-21, 09:50","2025-10-21, 10:30",cot
Feeding,Bottle,"2025-10-21, 07:35","2025-10-21, 08:35","144ml, formula"
Feeding,Bottle,"2025-10-21, 01:40","2025-10-21, 02:40","150ml, formula"
Sleep,,"2025-10-20, 19:35","2025-10-21, 07:05",cot
Feeding,Bottle,"2025-10-20, 19:15","2025-10-20, 19:30","215ml, formula"
Feeding,Bottle,"2025-10-20, 16:45","2025-10-20, 17:15","178ml, formula"
Sleep,,"2025-10-20, 13:40","2025-10-20, 15:05",cot
Feeding,Bottle,"2025-10-20, 13:30","2025-10-20, 13:35","147ml, formula"
Feeding,Bottle,"2025-10-20, 10:10","2025-10-20, 10:40","202ml, formula"
Sleep,,"2025-10-20, 09:00","2025-10-20, 09:45",cot
Feeding,Bottle,"2025-10-20, 06:55","2025-10-20, 07:25","133ml, formula"
Feeding,Bottle,"2025-10-20, 01:30","2025-10-20, 01:45","124ml, formula"
Sleep,,"2025-10-19, 19:20","2025-10-20, 06:30",cot
Feeding,Bottle,"2025-10-19, 19:10","2025-10-19, 19:20","182ml, formula"
Feeding,Bottle,"2025-10-19, 16:35","2025-10-19, 16:45","64ml, formula"
Feeding,Bottle,"2025-10-19, 14:50","2025-10-19, 15:00","105ml, formula"
Sleep,,"2025-10-19, 13:55","2025-10-19, 14:30",cot
Feeding,Bottle,"2025-10-19, 11:45","2025-10-19, 11:55","171ml, formula"
Sleep,,"2025-10-19, 09:40","2025-10-19, 10:15",cot
Feeding,Bottle,"2025-10-19, 07:35","2025-10-19, 08:15","138ml, formula"
Feeding,Bottle,"2025-10-19, 03:40","2025-10-19, 03:45","152ml, formula"
Sleep,,"2025-10-18, 19:35","2025-10-19, 07:00",cot
Feeding,Bottle,"2025-10-18, 19:20","2025-10-18, 19:30","256ml, formula"
Feeding,Bottle,"2025-10-18, 17:05","2025-10-18, 17:10","100ml, formula"
Sleep,,"2025-10-18, 14:10","2025-10-18, 15:05",cot
Feeding,Bottle,"2025-10-18, 13:50","2025-10-18, 14:00","135ml, formula"
Feeding,Bottle,"2025-10-18, 10:30","2025-10-18, 11:00","113ml, formula"
Sleep,,"2025-10-18, 09:35","2025-10-18, 10:10",cot
Feeding,Bottle,"2025-10-18, 07:15","2025-10-18, 07:45","179ml, formula"
Feeding,Bottle,"2025-10-18, 01:15","2025-10-18, 01:25","166ml, formula"
Sleep,,"2025-10-17, 19:15","2025-10-18, 06:45",cot
Feeding,Bottle,"2025-10-17, 19:10","2025-10-17, 19:20","160ml, formula"
Feeding,Bottle,"2025-10-17, 14:55","2025-10-17, 15:25","192ml, formula"
Sleep,,"2025-10-17, 13:55","2025-10-17, 14:50",car
Feeding,Bottle,"2025-10-17, 10:55","2025-10-17, 12:45","134ml, formula"
Sleep,,"2025-10-17, 09:55","2025-10-17, 10:35",cot
Feeding,Bottle,"2025-10-17, 07:50","2025-10-17, 08:20","216ml, formula"
Feeding,Bottle,"2025-10-16, 23:15","2025-10-16, 23:20","110ml, formula"
Sleep,,"2025-10-16, 19:25","2025-10-17, 07:15",cot
Feeding,Bottle,"2025-10-16, 19:10","2025-10-16, 19:20","189ml, formula"
Feeding,Bottle,"2025-10-16, 17:10","2025-10-16, 17:30","43ml, formula"
Feeding,Bottle,"2025-10-16, 14:50","2025-10-16, 15:00","97ml, formula"
Sleep,,"2025-10-16, 13:55","2025-10-16, 14:45",pram
Feeding,Bottle,"2025-10-16, 10:50","2025-10-16, 11:20","135ml, formula"
Sleep,,"2025-10-16, 09:40","2025-10-16, 10:20",cot
Feeding,Bottle,"2025-10-16, 07:15","2025-10-16, 07:45","203ml, formula"
Feeding,Bottle,"2025-10-16, 02:10","2025-10-16, 02:20","149ml, formula"
Sleep,,"2025-10-15, 19:50","2025-10-16, 06:45",cot
Feeding,Bottle,"2025-10-15, 19:25","2025-10-15, 19:45","232ml, formula"
Feeding,Bottle,"2025-10-15, 17:05","2025-10-15, 17:35","58ml, formula"
Sleep,,"2025-10-15, 14:35","2025-10-15, 15:15",cot
Feeding,Bottle,"2025-10-15, 14:00","2025-10-15, 14:15","174ml, formula"
Feeding,Bottle,"2025-10-15, 10:50","2025-10-15, 11:20","120ml, formula"
Sleep,,"2025-10-15, 09:45","2025-10-15, 10:30",cot
Feeding,Bottle,"2025-10-15, 07:20","2025-10-15, 07:50","179ml, formula"
Feeding,Bottle,"2025-10-15, 02:35","2025-10-15, 02:45","194ml, formula"
Sleep,,"2025-10-14, 19:35","2025-10-15, 07:00",cot
Feeding,Bottle,"2025-10-14, 19:20","2025-10-14, 19:30","313ml, formula"
Feeding,Bottle,"2025-10-14, 16:15","2025-10-14, 16:30","105ml, formula"
Sleep,,"2025-10-14, 13:55","2025-10-14, 14:35",cot
Feeding,Bottle,"2025-10-14, 13:15","2025-10-14, 13:30","168ml, formula"
Feeding,Bottle,"2025-10-14, 10:15","2025-10-14, 10:45","183ml, formula"
Sleep,,"2025-10-14, 09:25","2025-10-14, 10:05",cot
Feeding,Bottle,"2025-10-14, 07:00","2025-10-14, 07:35","186ml, formula"
Feeding,Bottle,"2025-10-14, 02:35","2025-10-14, 03:00","178ml, formula"
Sleep,,"2025-10-13, 19:35","2025-10-14, 06:40",cot
Feeding,Bottle,"2025-10-13, 19:15","2025-10-13, 19:25","250ml, formula"
Feeding,Bottle,"2025-10-13, 16:00","2025-10-13, 16:30","179ml, formula"
Sleep,,"2025-10-13, 14:20","2025-10-13, 15:10",pram
Feeding,Bottle,"2025-10-13, 12:40","2025-10-13, 14:10","155ml, formula"
Sleep,,"2025-10-13, 10:10","2025-10-13, 10:50",cot
Feeding,Bottle,"2025-10-13, 09:10","2025-10-13, 09:20","150ml, formula"
Feeding,Bottle,"2025-10-13, 06:10","2025-10-13, 06:20","157ml, formula"
Feeding,Bottle,"2025-10-13, 01:15","2025-10-13, 01:20","150ml, formula"
Sleep,,"2025-10-12, 19:30","2025-10-13, 07:20",cot
Feeding,Bottle,"2025-10-12, 19:10","2025-10-12, 19:30","250ml, formula"
Feeding,Bottle,"2025-10-12, 16:30","2025-10-12, 16:40","159ml, formula"
Sleep,,"2025-10-12, 14:05","2025-10-12, 14:50",cot
Feeding,Bottle,"2025-10-12, 13:20","2025-10-12, 13:25","166ml, formula"
Feeding,Bottle,"2025-10-12, 11:00","2025-10-12, 11:05","139ml, formula"
Sleep,,"2025-10-12, 09:50","2025-10-12, 10:25",cot
Feeding,Bottle,"2025-10-12, 07:40","2025-10-12, 08:10","203ml, formula"
Feeding,Bottle,"2025-10-12, 02:35","2025-10-12, 02:45","134ml, formula"
Sleep,,"2025-10-11, 19:15","2025-10-12, 07:15",cot
Feeding,Bottle,"2025-10-11, 19:05","2025-10-11, 19:20","137ml, formula"
Feeding,Bottle,"2025-10-11, 16:20","2025-10-11, 17:25","140ml, formula"
Sleep,,"2025-10-11, 13:50","2025-10-11, 14:25",cot
Feeding,Bottle,"2025-10-11, 13:10","2025-10-11, 13:30","210ml, formula"
Sleep,,"2025-10-11, 09:40","2025-10-11, 10:40",cot
Feeding,Bottle,"2025-10-11, 09:30","2025-10-11, 09:40","222ml, formula"
Feeding,Bottle,"2025-10-11, 07:30","2025-10-11, 08:00","86ml, formula"
Feeding,Bottle,"2025-10-11, 03:00","2025-10-11, 03:10","222ml, formula"
Sleep,,"2025-10-10, 20:10","2025-10-11, 07:15",cot
Feeding,Bottle,"2025-10-10, 19:20","2025-10-10, 19:30","317ml, formula"
Sleep,,"2025-10-10, 16:25","2025-10-10, 17:00",pram
Feeding,Bottle,"2025-10-10, 16:00","2025-10-10, 17:10","168ml, formula"
