Activity,Type,Start,Finish,Details,,,
Sleep,,"2025-11-13, 14:45","2025-11-13, 16:10",Cot,,,Cot
Feeding,Bottle,"2025-11-13, 14:05","2025-11-13, 14:30","160ml, formula",,,160
Feeding,Bottle,"2025-11-13, 10:35","2025-11-13, 10:40","110ml, formula",,,110
Sleep,,"2025-11-13, 09:45","2025-11-13, 10:15",Cot,,,Cot
Feeding,Bottle,"2025-11-13, 07:05","2025-11-13, 07:35","80ml, formula",,,80
Feeding,Bottle,"2025-11-13, 02:30","2025-11-13, 02:40","120ml, formula",,,120
Sleep,,"2025-11-12, 20:30","2025-11-13, 06:45",Cot,,,Cot
Feeding,Bottle,"2025-11-12, 19:15","2025-11-12, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-11-12, 17:00","2025-11-12, 17:15","100ml, formula",,,100
Sleep,,"2025-11-12, 14:00","2025-11-12, 15:50",Cot,,,Cot
Feeding,Bottle,"2025-11-12, 13:50","2025-11-12, 14:00","160ml, formula",,,160
Feeding,Bottle,"2025-11-12, 10:30","2025-11-12, 10:35","120ml, formula",,,120
Sleep,,"2025-11-12, 09:25","2025-11-12, 10:05",Cot,,,Cot
Feeding,Bottle,"2025-11-12, 06:40","2025-11-12, 07:00","130ml, formula",,,130
Feeding,Bottle,"2025-11-12, 03:00","2025-11-12, 03:10","120ml, formula",,,120
Sleep,,"2025-11-11, 20:05","2025-11-12, 06:15",Cot,,,Cot
Feeding,Bottle,"2025-11-11, 19:15","2025-11-11, 19:30","215ml, formula",,,215
Feeding,Bottle,"2025-11-11, 17:15","2025-11-11, 17:30","110ml, formula",,,110
Sleep,,"2025-11-11, 14:05","2025-11-11, 15:55",Cot,,,Cot
Feeding,Bottle,"2025-11-11, 13:55","2025-11-11, 14:00","160ml, formula",,,160
Feeding,Bottle,"2025-11-11, 10:30","2025-11-11, 10:40","140ml, formula",,,140
Sleep,,"2025-11-11, 09:10","2025-11-11, 10:15",Cot,,,Cot
Feeding,Bottle,"2025-11-11, 06:25","2025-11-11, 07:25","130ml, formula",,,130
Sleep,,"2025-11-10, 19:45","2025-11-11, 05:50",Cot,,,Cot
Feeding,Bottle,"2025-11-10, 19:20","2025-11-10, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-11-10, 17:00","2025-11-10, 17:05","100ml, formula",,,100
Sleep,,"2025-11-10, 14:25","2025-11-10, 15:15",cot,,,cot
Feeding,Bottle,"2025-11-10, 13:50","2025-11-10, 14:00","150ml, formula",,,150
Feeding,Bottle,"2025-11-10, 10:30","2025-11-10, 11:00","130ml, formula",,,130
Sleep,,"2025-11-10, 09:35","2025-11-10, 10:20",cot,,,cot
Feeding,Bottle,"2025-11-10, 07:15","2025-11-10, 07:45","160ml, formula",,,160
Feeding,Bottle,"2025-11-10, 01:00","2025-11-10, 01:34","115ml, formula",,,115
Sleep,,"2025-11-09, 19:50","2025-11-10, 06:50",cot,,,cot
Feeding,Bottle,"2025-11-09, 19:20","2025-11-09, 19:40","220ml, formula",,,220
Feeding,Bottle,"2025-11-09, 17:00","2025-11-09, 17:35","110ml, formula",,,110
Sleep,,"2025-11-09, 14:05","2025-11-09, 15:30",cot,,,cot
Feeding,Bottle,"2025-11-09, 13:50","2025-11-09, 14:00","155ml, formula",,,155
Feeding,Bottle,"2025-11-09, 10:25","2025-11-09, 10:30","100ml, formula",,,100
Sleep,,"2025-11-09, 09:25","2025-11-09, 10:15",cot,,,cot
Feeding,Bottle,"2025-11-09, 07:00","2025-11-09, 07:30","145ml, formula",,,145
Sleep,,"2025-11-08, 19:30","2025-11-09, 06:25",cot,,,cot
Feeding,Bottle,"2025-11-08, 19:15","2025-11-08, 19:25","225ml, formula",,,225
Feeding,Bottle,"2025-11-08, 17:00","2025-11-08, 17:15","90ml, formula",,,90
Sleep,,"2025-11-08, 14:50","2025-11-08, 15:45",car,,,car
Feeding,Bottle,"2025-11-08, 14:00","2025-11-08, 14:23","150ml, formula",,,150
Feeding,Bottle,"2025-11-08, 10:45","2025-11-08, 11:00","150ml, formula",,,150
Sleep,,"2025-11-08, 09:40","2025-11-08, 10:30",cot,,,cot
Feeding,Bottle,"2025-11-08, 07:15","2025-11-08, 07:45","155ml, formula",,,155
Feeding,Bottle,"2025-11-08, 03:05","2025-11-08, 03:15","115ml, formula",,,115
Sleep,,"2025-11-07, 19:25","2025-11-08, 06:35",cot,,,cot
Feeding,Bottle,"2025-11-07, 19:10","2025-11-07, 19:15","135ml, formula",,,135
Feeding,Bottle,"2025-11-07, 16:55","2025-11-07, 17:25","190ml, formula",,,190
Sleep,,"2025-11-07, 13:55","2025-11-07, 14:30",cot,,,cot
Feeding,Bottle,"2025-11-07, 13:50","2025-11-07, 13:55","160ml, formula",,,160
Feeding,Bottle,"2025-11-07, 10:30","2025-11-07, 11:30","85ml, formula",,,85
Sleep,,"2025-11-07, 09:25","2025-11-07, 10:15",cot,,,cot
Feeding,Bottle,"2025-11-07, 07:10","2025-11-07, 07:40","130ml, formula",,,130
Feeding,Bottle,"2025-11-07, 02:30","2025-11-07, 02:35","50ml, formula",,,50
Sleep,,"2025-11-06, 20:15","2025-11-07, 06:30",cot,,,cot
Feeding,Bottle,"2025-11-06, 19:20","2025-11-06, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-11-06, 15:45","2025-11-06, 15:55","160ml, formula",,,160
Sleep,,"2025-11-06, 14:05","2025-11-06, 15:35",cot,,,cot
Feeding,Bottle,"2025-11-06, 12:05","2025-11-06, 12:15","160ml, formula",,,160
Sleep,,"2025-11-06, 09:10","2025-11-06, 09:55",cot,,,cot
Feeding,Bottle,"2025-11-06, 09:00","2025-11-06, 09:10","120ml, formula",,,120
Feeding,Bottle,"2025-11-06, 06:00","2025-11-06, 06:15","150ml, formula",,,150
Sleep,,"2025-11-05, 19:30","2025-11-06, 06:00",cot,,,cot
Feeding,Bottle,"2025-11-05, 19:20","2025-11-05, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-11-05, 16:30","2025-11-05, 16:45","160ml, formula",,,160
Sleep,,"2025-11-05, 14:10","2025-11-05, 15:20",cot,,,cot
Feeding,Bottle,"2025-11-05, 13:30","2025-11-05, 13:45","160ml, formula",,,160
Feeding,Bottle,"2025-11-05, 10:25","2025-11-05, 10:50","150ml, formula",,,150
Sleep,,"2025-11-05, 09:35","2025-11-05, 10:20",cot,,,cot
Feeding,Bottle,"2025-11-05, 07:20","2025-11-05, 07:40","125ml, formula",,,125
Feeding,Bottle,"2025-11-05, 02:10","2025-11-05, 02:20","150ml, formula",,,150
Sleep,,"2025-11-04, 19:35","2025-11-05, 06:30",cot,,,cot
Feeding,Bottle,"2025-11-04, 19:15","2025-11-04, 19:25","210ml, formula",,,210
Feeding,Bottle,"2025-11-04, 17:15","2025-11-04, 17:25","80ml, formula",,,80
Sleep,,"2025-11-04, 15:10","2025-11-04, 15:55",pram,,,pram
Feeding,Bottle,"2025-11-04, 14:10","2025-11-04, 14:20","120ml, formula",,,120
Feeding,Bottle,"2025-11-04, 11:10","2025-11-04, 11:20","95ml, formula",,,95
Sleep,,"2025-11-04, 10:20","2025-11-04, 11:05",cot,,,cot
Feeding,Bottle,"2025-11-04, 07:35","2025-11-04, 07:55","160ml, formula",,,160
Feeding,Bottle,"2025-11-04, 01:05","2025-11-04, 01:15","150ml, formula",,,150
Sleep,,"2025-11-03, 19:40","2025-11-04, 07:20",cot,,,cot
Feeding,Bottle,"2025-11-03, 19:20","2025-11-03, 19:30","170ml, formula",,,170
Feeding,Bottle,"2025-11-03, 17:30","2025-11-03, 17:35","120ml, formula",,,120
Sleep,,"2025-11-03, 14:40","2025-11-03, 15:50",cot,,,cot
Feeding,Bottle,"2025-11-03, 14:10","2025-11-03, 14:20","130ml, formula",,,130
Feeding,Bottle,"2025-11-03, 10:35","2025-11-03, 10:40","100ml, formula",,,100
Sleep,,"2025-11-03, 09:45","2025-11-03, 10:20",cot,,,cot
Feeding,Bottle,"2025-11-03, 07:20","2025-11-03, 07:50","135ml, formula",,,135
Feeding,Bottle,"2025-11-03, 02:25","2025-11-03, 02:35","110ml, formula",,,110
Sleep,,"2025-11-02, 19:50","2025-11-03, 06:55",cot,,,cot
Feeding,Bottle,"2025-11-02, 19:25","2025-11-02, 19:35","185ml, formula",,,185
Feeding,Bottle,"2025-11-02, 17:50","2025-11-02, 18:00","160ml, formula",,,160
Sleep,,"2025-11-02, 14:55","2025-11-02, 15:55",cot,,,cot
Feeding,Bottle,"2025-11-02, 14:20","2025-11-02, 14:25","160ml, formula",,,160
Feeding,Bottle,"2025-11-02, 10:50","2025-11-02, 11:00","160ml, formula",,,160
Sleep,,"2025-11-02, 09:50","2025-11-02, 10:40",cot,,,cot
Feeding,Bottle,"2025-11-02, 07:25","2025-11-02, 08:05","155ml, formula",,,155
Feeding,Bottle,"2025-11-02, 03:10","2025-11-02, 03:20","145ml, formula",,,145
Sleep,,"2025-11-01, 19:25","2025-11-02, 06:55",cot,,,cot
Feeding,Bottle,"2025-11-01, 19:10","2025-11-01, 19:20","160ml, formula",,,160
Feeding,Bottle,"2025-11-01, 17:25","2025-11-01, 17:35","160ml, formula",,,160
Feeding,Bottle,"2025-11-01, 14:25","2025-11-01, 14:55","150ml, formula",,,150
Sleep,,"2025-11-01, 12:55","2025-11-01, 13:35",pram,,,pram
Feeding,Bottle,"2025-11-01, 10:25","2025-11-01, 10:35","120ml, formula",,,120
Sleep,,"2025-11-01, 09:40","2025-11-01, 10:15",cot,,,cot
Feeding,Bottle,"2025-11-01, 07:10","2025-11-01, 07:40","145ml, formula",,,145
Feeding,Bottle,"2025-11-01, 01:00","2025-11-01, 01:05","160ml, formula",,,160
Sleep,,"2025-10-31, 19:45","2025-11-01, 06:40",cot,,,cot
Feeding,Bottle,"2025-10-31, 19:15","2025-10-31, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-10-31, 17:40","2025-10-31, 17:45","50ml, formula",,,50
Sleep,,"2025-10-31, 16:35","2025-10-31, 17:05",cot,,,cot
Feeding,Bottle,"2025-10-31, 14:40","2025-10-31, 14:45","130ml, formula",,,130
Sleep,,"2025-10-31, 12:20","2025-10-31, 12:55",cot,,,cot
Feeding,Bottle,"2025-10-31, 10:45","2025-10-31, 11:45","185ml, formula",,,185
Feeding,Bottle,"2025-10-31, 07:30","2025-10-31, 08:00","125ml, formula",,,125
Feeding,Bottle,"2025-10-31, 02:15","2025-10-31, 02:25","110ml, formula",,,110
Sleep,,"2025-10-30, 19:55","2025-10-31, 07:15",cot,,,cot
Feeding,Bottle,"2025-10-30, 19:25","2025-10-30, 19:40","225ml, formula",,,225
Feeding,Bottle,"2025-10-30, 17:05","2025-10-30, 17:20","110ml, formula",,,110
Sleep,,"2025-10-30, 14:25","2025-10-30, 16:15",cot,,,cot
Feeding,Bottle,"2025-10-30, 14:10","2025-10-30, 14:15","160ml, formula",,,160
Feeding,Bottle,"2025-10-30, 11:10","2025-10-30, 11:20","125ml, formula",,,125
Sleep,,"2025-10-30, 10:20","2025-10-30, 10:50",cot,,,cot
Feeding,Bottle,"2025-10-30, 07:55","2025-10-30, 08:40","125ml, formula",,,125
Feeding,Bottle,"2025-10-30, 04:20","2025-10-30, 04:30","150ml, formula",,,150
Sleep,,"2025-10-29, 19:45","2025-10-30, 07:25",cot,,,cot
Feeding,Bottle,"2025-10-29, 19:20","2025-10-29, 19:35","170ml, formula",,,170
Feeding,Bottle,"2025-10-29, 17:30","2025-10-29, 17:45","120ml, formula",,,120
Sleep,,"2025-10-29, 16:30","2025-10-29, 17:10",pram,,,pram
Feeding,Bottle,"2025-10-29, 14:40","2025-10-29, 15:10","190ml, formula",,,190
Feeding,Bottle,"2025-10-29, 11:25","2025-10-29, 11:30","150ml, formula",,,150
Sleep,,"2025-10-29, 10:05","2025-10-29, 11:20",cot,,,cot
Feeding,Bottle,"2025-10-29, 07:45","2025-10-29, 08:15","120ml, formula",,,120
Feeding,Bottle,"2025-10-28, 23:50","2025-10-28, 23:55","125ml, formula",,,125
Sleep,,"2025-10-28, 19:50","2025-10-29, 07:20",cot,,,cot
Feeding,Bottle,"2025-10-28, 19:15","2025-10-28, 19:30","150ml, formula",,,150
Feeding,Bottle,"2025-10-28, 16:30","2025-10-28, 17:00","120ml, formula",,,120
Sleep,,"2025-10-28, 14:55","2025-10-28, 15:40",cot,,,cot
Feeding,Bottle,"2025-10-28, 13:30","2025-10-28, 14:20","120ml, formula",,,120
Sleep,,"2025-10-28, 09:55","2025-10-28, 10:50",cot,,,cot
Feeding,Bottle,"2025-10-28, 09:20","2025-10-28, 09:25","160ml, formula",,,160
Feeding,Bottle,"2025-10-28, 05:45","2025-10-28, 06:00","150ml, formula",,,150
Sleep,,"2025-10-27, 20:00","2025-10-28, 07:05",cot,,,cot
Feeding,Bottle,"2025-10-27, 19:20","2025-10-27, 19:40","230ml, formula",,,230
Feeding,Bottle,"2025-10-27, 17:10","2025-10-27, 17:20","70ml, formula",,,70
Sleep,,"2025-10-27, 13:45","2025-10-27, 15:05",cot,,,cot
Feeding,Bottle,"2025-10-27, 13:40","2025-10-27, 13:45","160ml, formula",,,160
Feeding,Bottle,"2025-10-27, 10:25","2025-10-27, 10:50","155ml, formula",,,155
Sleep,,"2025-10-27, 09:25","2025-10-27, 10:10",cot,,,cot
Feeding,Bottle,"2025-10-27, 07:20","2025-10-27, 07:50","155ml, formula",,,155
Feeding,Bottle,"2025-10-27, 02:45","2025-10-27, 02:55","120ml, formula",,,120
Sleep,,"2025-10-26, 19:45","2025-10-27, 06:45",cot,,,cot
Feeding,Bottle,"2025-10-26, 19:20","2025-10-26, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-10-26, 15:40","2025-10-26, 15:55","160ml, formula",,,160
Sleep,,"2025-10-26, 14:10","2025-10-26, 15:30",cot,,,cot
Feeding,Bottle,"2025-10-26, 11:40","2025-10-26, 11:55","180ml, formula",,,180
Sleep,,"2025-10-26, 09:55","2025-10-26, 10:30",cot,,,cot
Feeding,Bottle,"2025-10-26, 07:50","2025-10-26, 08:20","120ml, formula",,,120
Feeding,Bottle,"2025-10-26, 03:10","2025-10-26, 03:20","160ml, formula",,,160
Sleep,,"2025-10-25, 19:50","2025-10-26, 07:20",cot,,,cot
Feeding,Bottle,"2025-10-25, 19:20","2025-10-25, 19:30","170ml, formula",,,170
Feeding,Bottle,"2025-10-25, 17:10","2025-10-25, 17:20","65ml, formula",,,65
Sleep,,"2025-10-25, 14:20","2025-10-25, 15:35",cot,,,cot
Feeding,Bottle,"2025-10-25, 14:10","2025-10-25, 14:20","155ml, formula",,,155
Feeding,Bottle,"2025-10-25, 10:55","2025-10-25, 11:00","160ml, formula",,,160
Sleep,,"2025-10-25, 09:50","2025-10-25, 10:45",cot,,,cot
Feeding,Bottle,"2025-10-25, 07:25","2025-10-25, 07:35","130ml, formula",,,130
Feeding,Bottle,"2025-10-25, 00:45","2025-10-25, 00:55","125ml, formula",,,125
Sleep,,"2025-10-24, 19:35","2025-10-25, 06:55",cot,,,cot
Feeding,Bottle,"2025-10-24, 19:15","2025-10-24, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-10-24, 17:00","2025-10-24, 17:10","40ml, formula",,,40
Sleep,,"2025-10-24, 15:00","2025-10-24, 15:30",cot,,,cot
Feeding,Bottle,"2025-10-24, 14:30","2025-10-24, 14:35","155ml, formula",,,155
Feeding,Bottle,"2025-10-24, 11:00","2025-10-24, 11:15","90ml, formula",,,90
Sleep,,"2025-10-24, 10:15","2025-10-24, 10:55",cot,,,cot
Feeding,Bottle,"2025-10-24, 08:00","2025-10-24, 08:05","130ml, formula",,,130
Feeding,Bottle,"2025-10-24, 04:45","2025-10-24, 04:55","120ml, formula",,,120
Sleep,,"2025-10-23, 19:50","2025-10-24, 07:30",cot,,,cot
Feeding,Bottle,"2025-10-23, 19:25","2025-10-23, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-10-23, 16:50","2025-10-23, 17:00","220ml, formula",,,220
Sleep,,"2025-10-23, 13:55","2025-10-23, 14:55",car,,,car
Feeding,Bottle,"2025-10-23, 13:30","2025-10-23, 13:45","120ml, formula",,,120
Feeding,Bottle,"2025-10-23, 10:40","2025-10-23, 10:50","150ml, formula",,,150
Sleep,,"2025-10-23, 09:45","2025-10-23, 10:30",cot,,,cot
Feeding,Bottle,"2025-10-23, 07:25","2025-10-23, 08:05","160ml, formula",,,160
Feeding,Bottle,"2025-10-23, 02:50","2025-10-23, 02:55","160ml, formula",,,160
Sleep,,"2025-10-22, 19:40","2025-10-23, 06:45",cot,,,cot
Feeding,Bottle,"2025-10-22, 19:15","2025-10-22, 19:46","200ml, formula",,,200
Sleep,,"2025-10-22, 16:15","2025-10-22, 17:00",car,,,car
Feeding,Bottle,"2025-10-22, 15:50","2025-10-22, 16:05","100ml, formula",,,100
Feeding,Bottle,"2025-10-22, 12:15","2025-10-22, 12:30","150ml, formula",,,150
Sleep,,"2025-10-22, 10:45","2025-10-22, 11:45",pram,,,pram
Feeding,Bottle,"2025-10-22, 07:40","2025-10-22, 08:13","130ml, formula",,,130
Feeding,Bottle,"2025-10-22, 00:25","2025-10-22, 00:35","150ml, formula",,,150
Sleep,,"2025-10-21, 19:25","2025-10-22, 07:00",cot,,,cot
Feeding,Bottle,"2025-10-21, 19:15","2025-10-21, 19:25","220ml, formula",,,220
Feeding,Bottle,"2025-10-21, 15:15","2025-10-21, 15:45","100ml, formula",,,100
Sleep,,"2025-10-21, 14:35","2025-10-21, 15:10",pram,,,pram
Feeding,Bottle,"2025-10-21, 11:35","2025-10-21, 12:05","200ml, formula",,,200
Sleep,,"2025-10-21, 09:50","2025-10-21, 10:30",cot,,,cot
Feeding,Bottle,"2025-10-21, 07:35","2025-10-21, 08:35","160ml, formula",,,160
Feeding,Bottle,"2025-10-21, 01:40","2025-10-21, 02:40","160ml, formula",,,160
Sleep,,"2025-10-20, 19:35","2025-10-21, 07:05",cot,,,cot
Feeding,Bottle,"2025-10-20, 19:15","2025-10-20, 19:30","190ml, formula",,,190
Feeding,Bottle,"2025-10-20, 16:45","2025-10-20, 17:15","155ml, formula",,,155
Sleep,,"2025-10-20, 13:40","2025-10-20, 15:05",cot,,,cot
Feeding,Bottle,"2025-10-20, 13:30","2025-10-20, 13:35","160ml, formula",,,160
Feeding,Bottle,"2025-10-20, 10:10","2025-10-20, 10:40","145ml, formula",,,145
Sleep,,"2025-10-20, 09:00","2025-10-20, 09:45",cot,,,cot
Feeding,Bottle,"2025-10-20, 06:55","2025-10-20, 07:25","115ml, formula",,,115
Feeding,Bottle,"2025-10-20, 01:30","2025-10-20, 01:45","120ml, formula",,,120
Sleep,,"2025-10-19, 19:20","2025-10-20, 06:30",cot,,,cot
Feeding,Bottle,"2025-10-19, 19:10","2025-10-19, 19:20","200ml, formula",,,200
Feeding,Bottle,"2025-10-19, 16:35","2025-10-19, 16:45","50ml, formula",,,50
Feeding,Bottle,"2025-10-19, 14:50","2025-10-19, 15:00","85ml, formula",,,85
Sleep,,"2025-10-19, 13:55","2025-10-19, 14:30",cot,,,cot
Feeding,Bottle,"2025-10-19, 11:45","2025-10-19, 11:55","190ml, formula",,,190
Sleep,,"2025-10-19, 09:40","2025-10-19, 10:15",cot,,,cot
Feeding,Bottle,"2025-10-19, 07:35","2025-10-19, 08:15","100ml, formula",,,100
Feeding,Bottle,"2025-10-19, 03:40","2025-10-19, 03:45","120ml, formula",,,120
Sleep,,"2025-10-18, 19:35","2025-10-19, 07:00",cot,,,cot
Feeding,Bottle,"2025-10-18, 19:20","2025-10-18, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-10-18, 17:05","2025-10-18, 17:10","110ml, formula",,,110
Sleep,,"2025-10-18, 14:10","2025-10-18, 15:05",cot,,,cot
Feeding,Bottle,"2025-10-18, 13:50","2025-10-18, 14:00","145ml, formula",,,145
Feeding,Bottle,"2025-10-18, 10:30","2025-10-18, 11:00","110ml, formula",,,110
Sleep,,"2025-10-18, 09:35","2025-10-18, 10:10",cot,,,cot
Feeding,Bottle,"2025-10-18, 07:15","2025-10-18, 07:45","160ml, formula",,,160
Feeding,Bottle,"2025-10-18, 01:15","2025-10-18, 01:25","120ml, formula",,,120
Sleep,,"2025-10-17, 19:15","2025-10-18, 06:45",cot,,,cot
Feeding,Bottle,"2025-10-17, 19:10","2025-10-17, 19:20","170ml, formula",,,170
Feeding,Bottle,"2025-10-17, 14:55","2025-10-17, 15:25","150ml, formula",,,150
Sleep,,"2025-10-17, 13:55","2025-10-17, 14:50",car,,,car
Feeding,Bottle,"2025-10-17, 10:55","2025-10-17, 12:45","100ml, formula",,,100
Sleep,,"2025-10-17, 09:55","2025-10-17, 10:35",cot,,,cot
Feeding,Bottle,"2025-10-17, 07:50","2025-10-17, 08:20","160ml, formula",,,160
Feeding,Bottle,"2025-10-16, 23:15","2025-10-16, 23:20","100ml, formula",,,100
Sleep,,"2025-10-16, 19:25","2025-10-17, 07:15",cot,,,cot
Feeding,Bottle,"2025-10-16, 19:10","2025-10-16, 19:20","210ml, formula",,,210
Feeding,Bottle,"2025-10-16, 17:10","2025-10-16, 17:30","45ml, formula",,,45
Feeding,Bottle,"2025-10-16, 14:50","2025-10-16, 15:00","100ml, formula",,,100
Sleep,,"2025-10-16, 13:55","2025-10-16, 14:45",pram,,,pram
Feeding,Bottle,"2025-10-16, 10:50","2025-10-16, 11:20","110ml, formula",,,110
Sleep,,"2025-10-16, 09:40","2025-10-16, 10:20",cot,,,cot
Feeding,Bottle,"2025-10-16, 07:15","2025-10-16, 07:45","160ml, formula",,,160
Feeding,Bottle,"2025-10-16, 02:10","2025-10-16, 02:20","120ml, formula",,,120
Sleep,,"2025-10-15, 19:50","2025-10-16, 06:45",cot,,,cot
Feeding,Bottle,"2025-10-15, 19:25","2025-10-15, 19:45","200ml, formula",,,200
Feeding,Bottle,"2025-10-15, 17:05","2025-10-15, 17:35","60ml, formula",,,60
Sleep,,"2025-10-15, 14:35","2025-10-15, 15:15",cot,,,cot
Feeding,Bottle,"2025-10-15, 14:00","2025-10-15, 14:15","140ml, formula",,,140
Feeding,Bottle,"2025-10-15, 10:50","2025-10-15, 11:20","120ml, formula",,,120
Sleep,,"2025-10-15, 09:45","2025-10-15, 10:30",cot,,,cot
Feeding,Bottle,"2025-10-15, 07:20","2025-10-15, 07:50","140ml, formula",,,140
Feeding,Bottle,"2025-10-15, 02:35","2025-10-15, 02:45","160ml, formula",,,160
Sleep,,"2025-10-14, 19:35","2025-10-15, 07:00",cot,,,cot
Feeding,Bottle,"2025-10-14, 19:20","2025-10-14, 19:30","225ml, formula",,,225
Feeding,Bottle,"2025-10-14, 16:15","2025-10-14, 16:30","100ml, formula",,,100
Sleep,,"2025-10-14, 13:55","2025-10-14, 14:35",cot,,,cot
Feeding,Bottle,"2025-10-14, 13:15","2025-10-14, 13:30","150ml, formula",,,150
Feeding,Bottle,"2025-10-14, 10:15","2025-10-14, 10:45","150ml, formula",,,150
Sleep,,"2025-10-14, 09:25","2025-10-14, 10:05",cot,,,cot
Feeding,Bottle,"2025-10-14, 07:00","2025-10-14, 07:35","155ml, formula",,,155
Feeding,Bottle,"2025-10-14, 02:35","2025-10-14, 03:00","160ml, formula",,,160
Sleep,,"2025-10-13, 19:35","2025-10-14, 06:40",cot,,,cot
